2017-07-31 21:39:47,701 |ttp-bio-8080-exec-10 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:39:47,701 |ttp-bio-8080-exec-10 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:39:47,701 |ttp-bio-8080-exec-10 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:39:50,759 |http-bio-8080-exec-7 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:39:50,760 |http-bio-8080-exec-7 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:39:50,760 |http-bio-8080-exec-7 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:39:50,760 |http-bio-8080-exec-7 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:41:20,437 |http-bio-8080-exec-8 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:41:21,386 |http-bio-8080-exec-8 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:41:21,387 |http-bio-8080-exec-8 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
2017-07-31 21:41:21,388 |http-bio-8080-exec-8 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:44:31,041 |ttp-bio-8080-exec-13 |Formula1Helper                |I| Connecting to null database...
2017-07-31 21:44:32,146 |ttp-bio-8080-exec-13 |Formula1Helper                |E| Error During Loading Drivercom.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2017-07-31 21:44:32,146 |ttp-bio-8080-exec-13 |Formula1Helper                |E| Exception -- java.lang.NullPointerException
